Grand Prix,Driver,Car,Time,Year
Spain,Michael SchumacherMSC,Ferrari,1:45.517,1996
Canada,Jacques VilleneuveVIL,Williams Renault,1:21.916,1996
France,Jacques VilleneuveVIL,Williams Renault,1:18.610,1996
Great Britain,Jacques VilleneuveVIL,Williams Renault,1:29.288,1996
Germany,Damon HillHIL,Williams Renault,1:46.504,1996
Hungary,Damon HillHIL,Williams Renault,1:20.093,1996
Belgium,Gerhard BergerBER,Benetton Renault,1:53.067,1996
Italy,Michael SchumacherMSC,Ferrari,1:26.110,1996
Portugal,Jacques VilleneuveVIL,Williams Renault,1:22.873,1996
Japan,Jacques VilleneuveVIL,Williams Renault,1:44.043,1996
Australia,Heinz-Harald FrentzenFRE,Williams Renault,1:30.585,1997
Brazil,Jacques VilleneuveVIL,Williams Renault,1:18.397,1997
Argentina,Gerhard BergerBER,Benetton Renault,1:27.981,1997
San Marino,Heinz-Harald FrentzenFRE,Williams Renault,1:25.531,1997
Monaco,Michael SchumacherMSC,Ferrari,1:53.315,1997
Spain,Giancarlo FisichellaFIS,Jordan Peugeot,1:22.242,1997
Canada,David CoulthardCOU,McLaren Mercedes,1:19.635,1997
France,Michael SchumacherMSC,Ferrari,1:17.910,1997
Great Britain,Michael SchumacherMSC,Ferrari,1:24.475,1997
Germany,Gerhard BergerBER,Benetton Renault,1:45.747,1997
Hungary,Heinz-Harald FrentzenFRE,Williams Renault,1:18.372,1997
Belgium,Jacques VilleneuveVIL,Williams Renault,1:52.692,1997
Italy,Mika HakkinenHAK,McLaren Mercedes,1:24.808,1997
Austria,Jacques VilleneuveVIL,Williams Renault,1:11.814,1997
Luxembourg,Heinz-Harald FrentzenFRE,Williams Renault,1:18.805,1997
Japan,Heinz-Harald FrentzenFRE,Williams Renault,1:38.942,1997
Europe,Heinz-Harald FrentzenFRE,Williams Renault,1:23.135,1997
Australia,Mika HakkinenHAK,McLaren Mercedes,1:31.649,1998
Brazil,Mika HakkinenHAK,McLaren Mercedes,1:19.337,1998
Argentina,Alexander WurzWUR,Benetton Playlife,1:28.179,1998
San Marino,Michael SchumacherMSC,Ferrari,1:29.345,1998
Spain,Mika HakkinenHAK,McLaren Mercedes,1:24.275,1998
Monaco,Mika HakkinenHAK,McLaren Mercedes,1:22.948,1998
Canada,Michael SchumacherMSC,Ferrari,1:19.379,1998
France,David CoulthardCOU,McLaren Mercedes,1:17.523,1998
Great Britain,Michael SchumacherMSC,Ferrari,1:35.704,1998
Austria,David CoulthardCOU,McLaren Mercedes,1:12.878,1998
Germany,David CoulthardCOU,McLaren Mercedes,1:46.116,1998
Hungary,Michael SchumacherMSC,Ferrari,1:19.286,1998
Belgium,Michael SchumacherMSC,Ferrari,2:03.766,1998
Italy,Mika HakkinenHAK,McLaren Mercedes,1:25.139,1998
Luxembourg,Mika HakkinenHAK,McLaren Mercedes,1:20.450,1998
Japan,Michael SchumacherMSC,Ferrari,1:40.190,1998
Australia,Michael SchumacherMSC,Ferrari,1:32.112,1999
Brazil,Mika HakkinenHAK,McLaren Mercedes,1:18.448,1999
San Marino,Michael SchumacherMSC,Ferrari,1:28.547,1999
Monaco,Mika HakkinenHAK,McLaren Mercedes,1:22.259,1999
Spain,Michael SchumacherMSC,Ferrari,1:24.982,1999
Canada,Eddie IrvineIRV,Ferrari,1:20.382,1999
France,David CoulthardCOU,McLaren Mercedes,1:19.227,1999
Great Britain,Mika HakkinenHAK,McLaren Mercedes,1:28.309,1999
Austria,Mika HakkinenHAK,McLaren Mercedes,1:12.107,1999
Germany,David CoulthardCOU,McLaren Mercedes,1:45.270,1999
Hungary,David CoulthardCOU,McLaren Mercedes,1:20.699,1999
Belgium,Mika HakkinenHAK,McLaren Mercedes,1:53.955,1999
Italy,Ralf SchumacherRSC,Williams Supertec,1:25.579,1999
Europe,Mika HakkinenHAK,McLaren Mercedes,1:21.282,1999
Malaysia,Michael SchumacherMSC,Ferrari,1:40.267,1999
Japan,Michael SchumacherMSC,Ferrari,1:41.319,1999
Australia,Rubens BarrichelloBAR,Ferrari,1:31.481,2000
Brazil,Michael SchumacherMSC,Ferrari,1:14.755,2000
San Marino,Mika HakkinenHAK,McLaren Mercedes,1:26.523,2000
Great Britain,Mika HakkinenHAK,McLaren Mercedes,1:26.217,2000
Spain,Mika HakkinenHAK,McLaren Mercedes,1:24.470,2000
Europe,Michael SchumacherMSC,Ferrari,1:22.269,2000
Monaco,Mika HakkinenHAK,McLaren Mercedes,1:21.571,2000
Canada,Mika HakkinenHAK,McLaren Mercedes,1:19.049,2000
France,David CoulthardCOU,McLaren Mercedes,1:19.479,2000
Austria,David CoulthardCOU,McLaren Mercedes,1:11.783,2000
Germany,Rubens BarrichelloBAR,Ferrari,1:44.300,2000
Hungary,Mika HakkinenHAK,McLaren Mercedes,1:20.028,2000
Belgium,Rubens BarrichelloBAR,Ferrari,1:53.803,2000
Italy,Mika HakkinenHAK,McLaren Mercedes,1:25.595,2000
United States,David CoulthardCOU,McLaren Mercedes,1:14.711,2000
Japan,Mika HakkinenHAK,McLaren Mercedes,1:39.189,2000
Malaysia,Mika HakkinenHAK,McLaren Mercedes,1:38.543,2000
Australia,Michael SchumacherMSC,Ferrari,1:28.214,2001
Malaysia,Mika HakkinenHAK,McLaren Mercedes,1:40.962,2001
Brazil,Ralf SchumacherRSC,Williams BMW,1:15.693,2001
San Marino,Ralf SchumacherRSC,Williams BMW,1:25.524,2001
Spain,Michael SchumacherMSC,Ferrari,1:21.151,2001
Austria,David CoulthardCOU,McLaren Mercedes,1:10.843,2001
Monaco,David CoulthardCOU,McLaren Mercedes,1:19.424,2001
Canada,Ralf SchumacherRSC,Williams BMW,1:17.205,2001
Europe,Juan Pablo MontoyaMOY,Williams BMW,1:18.354,2001
France,David CoulthardCOU,McLaren Mercedes,1:16.088,2001
Great Britain,Mika HakkinenHAK,McLaren Mercedes,1:23.405,2001
Germany,Juan Pablo MontoyaMOY,Williams BMW,1:41.808,2001
Hungary,Mika HakkinenHAK,McLaren Mercedes,1:16.723,2001
Belgium,Michael SchumacherMSC,Ferrari,1:49.758,2001
Italy,Ralf SchumacherRSC,Williams BMW,1:25.073,2001
United States,Juan Pablo MontoyaMOY,Williams BMW,1:14.448,2001
Japan,Ralf SchumacherRSC,Williams BMW,1:36.944,2001
Australia,Kimi RäikkönenRAI,McLaren Mercedes,1:28.541,2002
Malaysia,Juan Pablo MontoyaMOY,Williams BMW,1:38.049,2002
Brazil,Juan Pablo MontoyaMOY,Williams BMW,1:16.079,2002
San Marino,Rubens BarrichelloBAR,Ferrari,1:24.170,2002
Spain,Michael SchumacherMSC,Ferrari,1:20.355,2002
Austria,Michael SchumacherMSC,Ferrari,1:09.298,2002
Monaco,Rubens BarrichelloBAR,Ferrari,1:18.023,2002
Canada,Juan Pablo MontoyaMOY,Williams BMW,1:15.960,2002
Europe,Michael SchumacherMSC,Ferrari,1:32.226,2002
Great Britain,Rubens BarrichelloBAR,Ferrari,1:23.083,2002
France,David CoulthardCOU,McLaren Mercedes,1:15.045,2002
Germany,Michael SchumacherMSC,Ferrari,1:16.462,2002
Hungary,Michael SchumacherMSC,Ferrari,1:16.207,2002
Belgium,Michael SchumacherMSC,Ferrari,1:47.176,2002
Italy,Rubens BarrichelloBAR,Ferrari,1:23.657,2002
United States,Rubens BarrichelloBAR,Ferrari,1:12.738,2002
Japan,Michael SchumacherMSC,Ferrari,1:36.125,2002
Australia,Kimi RäikkönenRAI,McLaren Mercedes,1:27.724,2003
Malaysia,Michael SchumacherMSC,Ferrari,1:36.412,2003
Brazil,Rubens BarrichelloBAR,Ferrari,1:22.032,2003
San Marino,Michael SchumacherMSC,Ferrari,1:22.491,2003
Spain,Rubens BarrichelloBAR,Ferrari,1:20.143,2003
Austria,Michael SchumacherMSC,Ferrari,1:08.337,2003
Monaco,Kimi RäikkönenRAI,McLaren Mercedes,1:14.545,2003
Canada,Fernando AlonsoALO,Renault,1:16.040,2003
Europe,Kimi RäikkönenRAI,McLaren Mercedes,1:32.621,2003
France,Juan Pablo MontoyaMOY,Williams BMW,1:15.512,2003
Great Britain,Rubens BarrichelloBAR,Ferrari,1:22.236,2003
Germany,Juan Pablo MontoyaMOY,Williams BMW,1:14.917,2003
Hungary,Juan Pablo MontoyaMOY,Williams BMW,1:22.095,2003
Italy,Michael SchumacherMSC,Ferrari,1:21.832,2003
United States,Michael SchumacherMSC,Ferrari,1:11.473,2003
Japan,Ralf SchumacherRSC,Williams BMW,1:33.408,2003
Australia,Michael SchumacherMSC,Ferrari,1:24.125,2004
Malaysia,Juan Pablo MontoyaMOY,Williams BMW,1:34.223,2004
Bahrain,Michael SchumacherMSC,Ferrari,1:30.252,2004
San Marino,Michael SchumacherMSC,Ferrari,1:20.411,2004
Spain,Michael SchumacherMSC,Ferrari,1:17.450,2004
Monaco,Michael SchumacherMSC,Ferrari,1:14.439,2004
Europe,Michael SchumacherMSC,Ferrari,1:29.468,2004
Canada,Rubens BarrichelloBAR,Ferrari,1:13.622,2004
United States,Rubens BarrichelloBAR,Ferrari,1:10.399,2004
France,Michael SchumacherMSC,Ferrari,1:15.377,2004
Great Britain,Michael SchumacherMSC,Ferrari,1:18.739,2004
Germany,Kimi RäikkönenRAI,McLaren Mercedes,1:13.780,2004
Hungary,Michael SchumacherMSC,Ferrari,1:19.071,2004
Belgium,Kimi RäikkönenRAI,McLaren Mercedes,1:45.108,2004
Italy,Rubens BarrichelloBAR,Ferrari,1:21.046,2004
China,Michael SchumacherMSC,Ferrari,1:32.238,2004
Japan,Rubens BarrichelloBAR,Ferrari,1:32.730,2004
Brazil,Juan Pablo MontoyaMOY,Williams BMW,1:11.473,2004
Australia,Fernando AlonsoALO,Renault,1:25.683,2005
Malaysia,Kimi RäikkönenRAI,McLaren Mercedes,1:35.483,2005
Bahrain,Pedro de la RosaDLR,McLaren Mercedes,1:31.447,2005
San Marino,Michael SchumacherMSC,Ferrari,1:21.858,2005
Spain,Giancarlo FisichellaFIS,Renault,1:15.641,2005
Monaco,Michael SchumacherMSC,Ferrari,1:15.842,2005
Europe,Fernando AlonsoALO,Renault,1:30.711,2005
Canada,Kimi RäikkönenRAI,McLaren Mercedes,1:14.384,2005
United States,Michael SchumacherMSC,Ferrari,1:11.497,2005
France,Kimi RäikkönenRAI,McLaren Mercedes,1:16.423,2005
